Date;Valor;Ativo
13/09/2018;6,87;KLBN3SA
14/09/2018;6,74;KLBN3SA
17/09/2018;6,58;KLBN3SA
18/09/2018;6,52;KLBN3SA
19/09/2018;6,25;KLBN3SA
20/09/2018;6,16;KLBN3SA
21/09/2018;6,03;KLBN3SA
24/09/2018;6,03;KLBN3SA
25/09/2018;6,02;KLBN3SA
26/09/2018;6,15;KLBN3SA
27/09/2018;6,17;KLBN3SA
28/09/2018;5,93;KLBN3SA
01/10/2018;5,99;KLBN3SA
02/10/2018;5,96;KLBN3SA
03/10/2018;5,8;KLBN3SA
04/10/2018;5,56;KLBN3SA
05/10/2018;5,18;KLBN3SA
08/10/2018;4,96;KLBN3SA
09/10/2018;4,81;KLBN3SA
10/10/2018;4,98;KLBN3SA
11/10/2018;4,81;KLBN3SA
15/10/2018;4,95;KLBN3SA
16/10/2018;5,14;KLBN3SA
17/10/2018;5,13;KLBN3SA
18/10/2018;5,19;KLBN3SA
19/10/2018;5,31;KLBN3SA
22/10/2018;5,35;KLBN3SA
23/10/2018;5,68;KLBN3SA
24/10/2018;5,69;KLBN3SA
25/10/2018;5,83;KLBN3SA
26/10/2018;5,24;KLBN3SA
29/10/2018;5,05;KLBN3SA
30/10/2018;5,13;KLBN3SA
31/10/2018;5,1;KLBN3SA
01/11/2018;5,22;KLBN3SA
05/11/2018;5,32;KLBN3SA
06/11/2018;5,32;KLBN3SA
07/11/2018;5,19;KLBN3SA
08/11/2018;5,15;KLBN3SA
09/11/2018;5,1;KLBN3SA
12/11/2018;5,07;KLBN3SA
13/11/2018;4,97;KLBN3SA
14/11/2018;4,84;KLBN3SA
16/11/2018;4,86;KLBN3SA
19/11/2018;4,76;KLBN3SA
21/11/2018;4,72;KLBN3SA
22/11/2018;4,85;KLBN3SA
23/11/2018;4,59;KLBN3SA
26/11/2018;4,41;KLBN3SA
27/11/2018;4,67;KLBN3SA
28/11/2018;4,5;KLBN3SA
29/11/2018;4,41;KLBN3SA
30/11/2018;4,35;KLBN3SA
03/12/2018;4,32;KLBN3SA
04/12/2018;4,07;KLBN3SA
05/12/2018;4,07;KLBN3SA
06/12/2018;4,1;KLBN3SA
07/12/2018;3,95;KLBN3SA
10/12/2018;4,07;KLBN3SA
11/12/2018;3,95;KLBN3SA
12/12/2018;3,9;KLBN3SA
13/12/2018;3,81;KLBN3SA
14/12/2018;3,68;KLBN3SA
17/12/2018;3,81;KLBN3SA
18/12/2018;3,93;KLBN3SA
19/12/2018;4,05;KLBN3SA
20/12/2018;3,94;KLBN3SA
21/12/2018;3,85;KLBN3SA
26/12/2018;3,72;KLBN3SA
27/12/2018;3,65;KLBN3SA
28/12/2018;3,84;KLBN3SA
02/01/2019;4,02;KLBN3SA
03/01/2019;3,93;KLBN3SA
04/01/2019;4,06;KLBN3SA
07/01/2019;4,26;KLBN3SA
08/01/2019;4,13;KLBN3SA
09/01/2019;4,33;KLBN3SA
10/01/2019;4,36;KLBN3SA
11/01/2019;4,39;KLBN3SA
14/01/2019;4,69;KLBN3SA
15/01/2019;4,94;KLBN3SA
16/01/2019;5,11;KLBN3SA
17/01/2019;5,05;KLBN3SA
18/01/2019;4,98;KLBN3SA
21/01/2019;5,07;KLBN3SA
22/01/2019;4,93;KLBN3SA
23/01/2019;5,06;KLBN3SA
24/01/2019;5,2;KLBN3SA
28/01/2019;5,38;KLBN3SA
29/01/2019;5,35;KLBN3SA
30/01/2019;5,39;KLBN3SA
31/01/2019;5,25;KLBN3SA
01/02/2019;5,27;KLBN3SA
04/02/2019;5,33;KLBN3SA
05/02/2019;5,48;KLBN3SA
06/02/2019;5,32;KLBN3SA
07/02/2019;5,42;KLBN3SA
08/02/2019;5,32;KLBN3SA
11/02/2019;5,17;KLBN3SA
12/02/2019;4,97;KLBN3SA
13/02/2019;4,91;KLBN3SA
14/02/2019;4,99;KLBN3SA
15/02/2019;4,93;KLBN3SA
18/02/2019;4,91;KLBN3SA
19/02/2019;4,98;KLBN3SA
20/02/2019;5;KLBN3SA
21/02/2019;4,92;KLBN3SA
22/02/2019;4,93;KLBN3SA
25/02/2019;4,99;KLBN3SA
26/02/2019;5,03;KLBN3SA
27/02/2019;5;KLBN3SA
28/02/2019;4,87;KLBN3SA
01/03/2019;4,79;KLBN3SA
06/03/2019;4,61;KLBN3SA
07/03/2019;4,59;KLBN3SA
08/03/2019;4,78;KLBN3SA
11/03/2019;4,79;KLBN3SA
12/03/2019;4,65;KLBN3SA
13/03/2019;4,82;KLBN3SA
14/03/2019;4,67;KLBN3SA
15/03/2019;4,74;KLBN3SA
18/03/2019;4,66;KLBN3SA
19/03/2019;4,63;KLBN3SA
20/03/2019;4,48;KLBN3SA
21/03/2019;4,38;KLBN3SA
22/03/2019;4,34;KLBN3SA
25/03/2019;4,26;KLBN3SA
26/03/2019;4,29;KLBN3SA
27/03/2019;4,33;KLBN3SA
28/03/2019;4,39;KLBN3SA
29/03/2019;4,09;KLBN3SA
01/04/2019;4,45;KLBN3SA
02/04/2019;4,51;KLBN3SA
03/04/2019;4,51;KLBN3SA
04/04/2019;4,27;KLBN3SA
05/04/2019;4,32;KLBN3SA
08/04/2019;4,45;KLBN3SA
09/04/2019;4,34;KLBN3SA
10/04/2019;4,14;KLBN3SA
11/04/2019;4,23;KLBN3SA
12/04/2019;3,98;KLBN3SA
15/04/2019;3,85;KLBN3SA
16/04/2019;3,78;KLBN3SA
17/04/2019;4;KLBN3SA
18/04/2019;3,98;KLBN3SA
22/04/2019;3,81;KLBN3SA
23/04/2019;3,82;KLBN3SA
24/04/2019;3,77;KLBN3SA
25/04/2019;4,08;KLBN3SA
26/04/2019;4,05;KLBN3SA
29/04/2019;3,99;KLBN3SA
30/04/2019;3,96;KLBN3SA
02/05/2019;3,94;KLBN3SA
03/05/2019;3,81;KLBN3SA
06/05/2019;3,69;KLBN3SA
07/05/2019;3,63;KLBN3SA
08/05/2019;3,73;KLBN3SA
09/05/2019;3,97;KLBN3SA
10/05/2019;3,97;KLBN3SA
13/05/2019;3,63;KLBN3SA
14/05/2019;3,66;KLBN3SA
15/05/2019;3,57;KLBN3SA
16/05/2019;3,57;KLBN3SA
17/05/2019;3,62;KLBN3SA
20/05/2019;3,61;KLBN3SA
21/05/2019;3,84;KLBN3SA
22/05/2019;3,84;KLBN3SA
23/05/2019;3,78;KLBN3SA
24/05/2019;3,56;KLBN3SA
27/05/2019;3,55;KLBN3SA
28/05/2019;3,53;KLBN3SA
29/05/2019;3,53;KLBN3SA
30/05/2019;3,49;KLBN3SA
31/05/2019;3,51;KLBN3SA
03/06/2019;3,42;KLBN3SA
04/06/2019;3,36;KLBN3SA
05/06/2019;3,43;KLBN3SA
06/06/2019;3,42;KLBN3SA
07/06/2019;3,42;KLBN3SA
10/06/2019;3,55;KLBN3SA
11/06/2019;3,48;KLBN3SA
12/06/2019;3,52;KLBN3SA
13/06/2019;3,59;KLBN3SA
14/06/2019;3,61;KLBN3SA
17/06/2019;3,56;KLBN3SA
18/06/2019;3,66;KLBN3SA
19/06/2019;3,7;KLBN3SA
21/06/2019;3,75;KLBN3SA
24/06/2019;3,73;KLBN3SA
25/06/2019;3,62;KLBN3SA
26/06/2019;3,71;KLBN3SA
27/06/2019;3,74;KLBN3SA
28/06/2019;3,63;KLBN3SA
01/07/2019;3,63;KLBN3SA
02/07/2019;3,64;KLBN3SA
03/07/2019;3,66;KLBN3SA
04/07/2019;3,71;KLBN3SA
05/07/2019;3,78;KLBN3SA
08/07/2019;3,71;KLBN3SA
10/07/2019;3,78;KLBN3SA
11/07/2019;3,72;KLBN3SA
12/07/2019;3,75;KLBN3SA
